ts,open,high,low,close
"2026-08-13 14:56",151.2,151.5,151.2,151.3
"2026-08-13 14:57",148.0,148.55,148.0,148.55
"2026-08-13 14:58",151.35,152.15,151.35,152.15
"2026-08-13 14:59",148.4,150.8,148.4,150.2
"2026-08-13 15:00",149.25,149.6,148.15,149.3
"2026-08-13 15:01",150.7,151.5,150.7,151.25
"2026-08-13 15:02",153.35,154.4,153.35,154.0
"2026-08-13 15:03",152.3,152.3,151.0,151.15
"2026-08-13 15:04",153.3,153.95,153.0,153.0
"2026-08-13 15:05",152.85,152.85,151.8,151.9
"2026-08-13 15:06",152.8,152.8,151.55,151.55
"2026-08-13 15:07",148.25,148.8,148.25,148.8
"2026-08-13 15:08",150.2,151.0,150.2,150.75
"2026-08-13 15:09",152.7,153.55,152.5,153.25
"2026-08-13 15:10",151.25,151.25,151.25,151.25
"2026-08-14 09:37",103.6,105.3,103.55,105.1
"2026-08-14 09:38",107.9,109.5,107.65,109.5
"2026-08-14 09:39",109.9,109.9,109.75,109.85
"2026-08-14 09:40",104.8,105.35,104.8,105.05
"2026-08-14 09:41",103.85,103.9,103.5,103.9
"2026-08-14 09:42",106.65,106.65,106.0,106.0
"2026-08-14 09:43",103.85,103.85,103.3,103.6
"2026-08-14 09:44",102.35,102.35,101.6,101.6
"2026-08-14 09:45",103.05,103.05,103.05,103.05
"2026-08-14 09:46",104.95,104.95,104.95,104.95
"2026-08-14 09:47",105.75,105.75,105.75,105.75
"2026-08-14 09:48",105.45,105.45,105.45,105.45
"2026-08-14 09:49",106.05,106.05,106.05,106.05
"2026-08-14 09:50",105.1,105.1,105.1,105.1
"2026-08-14 09:51",104.35,104.35,104.35,104.35
"2026-08-14 09:52",103.75,103.75,103.55,103.55
"2026-08-14 09:53",101.3,101.3,101.3,101.3
"2026-08-14 09:54",100.45,100.45,100.45,100.45
"2026-08-14 09:55",95.6,96.0,95.6,96.0
"2026-08-14 09:56",100.3,100.55,100.15,100.15
"2026-08-14 09:57",102.5,102.5,102.4,102.4
"2026-08-14 09:58",100.9,100.95,100.2,100.2
"2026-08-14 09:59",103.05,103.1,102.5,102.9
"2026-08-14 10:00",103.0,103.0,102.35,102.45
"2026-08-14 10:01",103.6,104.3,103.6,104.3
"2026-08-14 10:02",105.5,105.5,104.5,104.85
"2026-08-14 10:03",108.9,108.9,108.9,108.9
"2026-08-14 10:04",105.85,105.85,105.85,105.85
"2026-08-14 10:05",108.5,108.75,108.5,108.75
"2026-08-14 10:06",107.85,107.85,107.8,107.8
"2026-08-14 10:07",103.75,103.75,103.45,103.45
"2026-08-14 10:08",108.95,109.1,108.7,108.7
"2026-08-14 10:09",108.75,108.75,108.65,108.65
"2026-08-14 10:10",110.1,110.1,109.5,109.5
"2026-08-14 10:11",112.6,112.6,112.45,112.5
"2026-08-14 10:12",108.0,108.2,107.6,108.2
"2026-08-14 10:13",105.3,105.55,105.3,105.55
"2026-08-14 10:14",104.55,104.55,104.2,104.2
"2026-08-14 10:15",104.9,104.9,104.65,104.65
"2026-08-14 10:16",105.2,105.45,104.65,104.65
"2026-08-14 10:17",102.35,102.4,102.2,102.2
"2026-08-14 10:18",104.3,104.3,104.05,104.05
"2026-08-14 10:19",101.35,101.35,101.1,101.35
"2026-08-14 10:20",100.2,100.5,99.9,100.3
"2026-08-14 10:21",99.65,100.2,99.5,100.1
"2026-08-14 10:22",100.1,100.4,99.9,99.9
"2026-08-14 10:23",99.65,100.0,99.6,100.0
"2026-08-14 10:24",100.65,100.65,99.8,99.8
"2026-08-14 10:25",100.2,100.5,100.2,100.5
"2026-08-14 10:26",99.3,99.5,99.1,99.3
"2026-08-14 10:27",99.6,99.6,98.85,98.95
"2026-08-14 10:28",100.6,101.0,100.4,100.6
"2026-08-14 10:29",99.45,99.45,98.7,98.7
"2026-08-14 10:30",98.95,99.15,98.7,99.0
"2026-08-14 10:31",96.35,96.6,95.95,95.95
